soc_uni,soc,task_id,id,new_descript,word,definition
47-3014,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",13612,Clean work areas and machines.,NA,NA
47-3014,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",13613,"Help masons and workers who paint, put up plaster, or hang paper and billboards. Do support tasks.",NA,NA
47-3014,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",13614,"Tape, cover, and protect spots that could get stained or damaged by work.",NA,NA
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,11602,"Use cell phones, pagers, or radios to talk with bosses and workers.",NA,NA
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,11601,"Drive trucks to move workers, supplies, and equipment from place to place.",NA,NA
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,11604,"Use equipment to clean sewers. Use water jets, flushers, and more.",NA,NA
47-5011,47-5011.00,"Derrick Operators, Oil and Gas",9890,Check derricks for problems. Clean and oil them. Keep them in good working order.,Derricks,Tower-like frames set up over drill holes.
47-5011,47-5011.00,"Derrick Operators, Oil and Gas",9899,Make mud reports. Tell crews how to handle any chemicals that must be used.,NA,NA
47-5011,47-5011.00,"Derrick Operators, Oil and Gas",9900,Put holding clamps on the ends of cables used to lift things into the air.,NA,NA
47-5071,47-5071.00,"Roustabouts, Oil and Gas",7118,Keep pipe deck and main deck clean and neat.,NA,NA
47-5071,47-5071.00,"Roustabouts, Oil and Gas",7119,Guide cranes to move loads about decks.,NA,NA
47-5071,47-5071.00,"Roustabouts, Oil and Gas",7120,Bring needed equipment to the rig floors. Help roughnecks.,Roughnecks,Workers on an oil-drilling rig.
51-3022,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",8803,"Separate meat, organs, and bone. Put them in their own containers. Seal the containers.",Separate,To set apart.
51-3022,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",8807,"Make foods that are ready to heat up and serve. Cut meat or fish into pieces. Prepare and add vegetables, sauces, or breading.",NA,NA
51-3022,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",8800,Make hamburger meat and meat trimmings.,NA,NA
51-6011,51-6011.00,Laundry and Dry-Cleaning Workers,12121,Load machines that wash or dry-clean. Direct others to load the machines.,NA,NA
51-6011,51-6011.00,Laundry and Dry-Cleaning Workers,12137,Mix bleaches with hot water in vats. Soak items until they are bleached.,Bleach,A chemical that makes things turn white.
51-6011,51-6011.00,Laundry and Dry-Cleaning Workers,12137,Mix bleaches with hot water in vats. Soak items until they are bleached.,Vats,Big containers.
51-6011,51-6011.00,Laundry and Dry-Cleaning Workers,12134,Spread dirty items on work tables. Place them so that stains can be cleaned.,NA,NA
53-3041,53-3041.00,Taxi Drivers and Chauffeurs,3166,"Make sure vehicle equipment is working well. Check lights, brakes, horns, wipers, and more.",Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
53-3041,53-3041.00,Taxi Drivers and Chauffeurs,3183,Turn the meter on when riders enter the cab. Turn it off when riders reach where they are going.,NA,NA
53-3041,53-3041.00,Taxi Drivers and Chauffeurs,3180,"Take fares or vouchers from riders. Give back change or receipts, as needed.",Voucher,A note given in place of money.
53-3041,53-3041.00,Taxi Drivers and Chauffeurs,3180,"Take fares or vouchers from riders. Give back change or receipts, as needed.",Receipts,Records showing that payments were made or money is owed.
53-7011,53-7011.00,Conveyor Operators and Tenders,10757,"Use your hands to load, unload, and move products on conveyors. Use lifts and open gates.",Conveyors,"Machines that move products from one place to another, often rolling them along a belt."
53-7011,53-7011.00,Conveyor Operators and Tenders,10756,"Take samples of products. Check to make sure they meet standards, or send them to a lab for testing.",Lab,Short for laboratory. A place where tests are done.
53-7011,53-7011.00,Conveyor Operators and Tenders,10752,"Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.",Schedule,A list of times and dates when tasks will get done.
53-7011,53-7011.00,Conveyor Operators and Tenders,10752,"Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.",Delivered,Sent or brought to a buyer.
53-7011,53-7011.00,Conveyor Operators and Tenders,10752,"Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.",Arrange,Put something in order; fit together.
53-7011,53-7011.00,Conveyor Operators and Tenders,10752,"Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.",Pallet,A low platform or board.
Nov-51,11-9051.00,Food Service Managers,1080,Make sure food is prepared the right way. Check that the right amount is made and that the food looks good.,NA,NA
Nov-51,11-9051.00,Food Service Managers,15199,Count money and put it in a bank account.,NA,NA
Nov-51,11-9051.00,Food Service Managers,1098,Greet guests and show them to their seats. Give them menus and wine lists.,Menu,A listing of foods that people can buy at a restaurant.
23-2093,23-2093.00,"Title Examiners, Abstractors, and Searchers",9231,"Check records such as deeds, maps, contracts, and more. Find out legal facts about a house, building, or land. Check how it is described, who owns it, and more.",NA,NA
23-2093,23-2093.00,"Title Examiners, Abstractors, and Searchers",9234,Check property titles. Find out if there are taxes owed or limits on how a property can be used.,Title,Proof that you own something.
23-2093,23-2093.00,"Title Examiners, Abstractors, and Searchers",9230,Make lists of all signed legal papersabout a piece of land and the buildings on it.,NA,NA
27-1023,27-1023.00,Floral Designers,1722,Choose flowers and plants to put together and display. Come up with different mixes and ways to arrange them.,Display,Put something out for people to see.
27-1023,27-1023.00,Floral Designers,1722,Choose flowers and plants to put together and display. Come up with different mixes and ways to arrange them.,Arrange,Put something in order; fit together.
27-1023,27-1023.00,Floral Designers,1721,Water plants. Cut and clean flowers and plants and get them ready for storage.,Storage,Somewhere to keep something for later use.
27-1023,27-1023.00,Floral Designers,1726,"Keep records and do office tasks. Help customers, answer phones, make sales, and take payments.",NA,NA
27-2011,27-2011.00,Actors,7646,Work with other actors as part of a group or team.,NA,NA
27-2011,27-2011.00,Actors,7651,Sing or dance. Act in comedies or dramas.,Comedies,Shows that are funny.
27-2011,27-2011.00,Actors,7651,Sing or dance. Act in comedies or dramas.,Dramas,Shows that are serious.
27-2011,27-2011.00,Actors,7653,Promote plays and movies by talking to the press.,Promote,To get something noticed.
27-3012,27-3012.00,Public Address System and Other Announcers,20891,Pick and play music that is right for the crowd.,NA,NA
27-3012,27-3012.00,Public Address System and Other Announcers,7702,"Tell the crowd about changes to a program, game, or event.",NA,NA
27-3012,27-3012.00,Public Address System and Other Announcers,7711,Give info to workers who run the scoreboard at a game.,NA,NA
29-2051,29-2051.00,Dietetic Technicians,4164,Keep track of how much food a patient eats. Report progress and problems to dietician.,Dietician,An expert on healthy eating.
29-2051,29-2051.00,Dietetic Technicians,4165,Make a major meal. Follow recipes. Figure out how much food and what kind of food is needed.,Recipe,Instructions that tell you how to make a meal.
29-2051,29-2051.00,Dietetic Technicians,4167,Make sure food is prepared and served in the right way. Help dietary and nutrition aides plan or guide food service.,Dietary and nutrition aides,People who help with programs for healthy eating.
31-1011,31-1011.00,Home Health Aides,4240,Keep records about patient care. Track patients’ health and progress. Report and discuss problems with the person in charge.,NA,NA
31-1011,31-1011.00,Home Health Aides,20577,Bathe and wash patients.,NA,NA
31-1011,31-1011.00,Home Health Aides,18695,"Give patients prescribed drugs to swallow. Make sure they take the drugs. Follow written orders from a doctor, nurse, or aide.",Prescribed,Ordered by a doctor.
31-1013,31-1013.00,Psychiatric Aides,20578,Listen to patients with mental health problems. Support their feelings and encourage them.,Encourage,To cheer on and support.
31-1013,31-1013.00,Psychiatric Aides,18696,Check on the well-being of mental health patients. Make sure they aren’t acting in a harmful or unusual way. Report findings to staff in charge.,Unusual,Not normal.
31-1013,31-1013.00,Psychiatric Aides,18698,Enter doctors’ orders into a computer. Answer phones calls. Keep track of health info. Do office tasks.,NA,NA
31-1014,31-1014.00,Nursing Assistants,19317,"Respond to patients who ask for help. Answer call lights, bells, and intercoms.",Intercom,A sound system that someone can speak through.
31-1014,31-1014.00,Nursing Assistants,19334,Remind patients to take prescribed drugs. Make sure they eat any supplements needed.,Prescribed,Ordered by a doctor.
31-1014,31-1014.00,Nursing Assistants,19334,Remind patients to take prescribed drugs. Make sure they eat any supplements needed.,Supplement,Something added to a person’s diet.
31-1014,31-1014.00,Nursing Assistants,19335,"Make sure patients’ rooms have basic care items. Those items include towels, soap, toilet paper, and more.",NA,NA
31-1015,31-1015.00,Orderlies,19366,"Move patients in wheelchairs, stretchers, and beds with wheels. Bring them to get treatments, tests, surgery, and more.",NA,NA
31-1015,31-1015.00,Orderlies,19356,Clean equipment and supplies to get rid of germs. Use equipment or products that kill germs.,Germ,A tiny living thing that spreads illness.
31-1015,31-1015.00,Orderlies,19353,"Clean equipment, wheelchairs, beds, and more. Keep a record of repairs or fixes needed.",NA,NA
31-2022,31-2022.00,Physical Therapist Aides,4273,Clean and tidy work areas after treatment. Use cleaning products that kill germs.,Tidy,To make something neat.
31-2022,31-2022.00,Physical Therapist Aides,4273,Clean and tidy work areas after treatment. Use cleaning products that kill germs.,Germ,A tiny living thing that spreads illness.
31-2022,31-2022.00,Physical Therapist Aides,4275,Teach patients how to do health exercises. Make sure they exercise safely. Help them and cheer them on. Follow orders from medical staff.,Health exercises,Ways to move your body to make it strong or healthy.
31-2022,31-2022.00,Physical Therapist Aides,4279,Keep track of patients’ treatments. Keep track of equipment used.,NA,NA
31-9093,31-9093.00,Medical Equipment Preparers,4293,Run steam machines that kill germs. Keep records of items cleaned in machines. Make sure machines stay in good working order. Keep track of upkeep.,Germ,A tiny living thing that spreads illness.
31-9093,31-9093.00,Medical Equipment Preparers,4292,Get medical tools ready for steam cleaning. Clean tools before putting them in machines.,NA,NA
31-9093,31-9093.00,Medical Equipment Preparers,4291,Put medical tools used for surgery on trays. Put them in the right order. Make sure tools and trays are germ-free.,Germ,A tiny living thing that spreads illness.
31-9095,31-9095.00,Pharmacy Aides,2052,Use a cash register to make cash and credit sales.,NA,NA
31-9095,31-9095.00,Pharmacy Aides,2046,Answer questions over the phone. Pass on calls to the pharmacist when needed.,Pharmacist,A person with a license to give out drugs and medicine.
31-9095,31-9095.00,Pharmacy Aides,2050,Get labels ready for prescribed drugs. Type or print labels. Use a computer.,Prescribed,Ordered by a doctor.
33-3011,33-3011.00,Bailiffs,20123,"Screen people going into a courthouse. Use metal detectors, x-rays, and more. Check for weapons and other items not allowed in court.",Screen,Check carefully.
33-3011,33-3011.00,Bailiffs,20125,Make sure the courtroom is safe and clean. Make sure there are supplies such as pens and notepads on hand.,NA,NA
33-3011,33-3011.00,Bailiffs,20128,Keep the court docket up to date.,Docket,The list of cases waiting to go to trial.
33-3012,33-3012.00,Correctional Officers and Jailers,15253,Make sure inmates are behaving and following rules. Watch them in all settings. Make sure there are no escapes or violence.,NA,NA
33-3012,33-3012.00,Correctional Officers and Jailers,2113,"Give inmates tasks to do. Show them how to do tasks, if needed.",NA,NA
33-3012,33-3012.00,Correctional Officers and Jailers,2104,Check mail for items that are not allowed.,NA,NA
33-9011,33-9011.00,Animal Control Workers,7963,Care for animals. Give them food and water.,NA,NA
33-9011,33-9011.00,Animal Control Workers,7964,Clean dog pens and animal control trucks. Clean places where animals are kept.,NA,NA
33-9011,33-9011.00,Animal Control Workers,7966,Teach the public about animal control laws and rules. Teach the public how to care for animals.,NA,NA
33-9032,33-9032.00,Security Guards,2133,Keep track of people coming and going from a site. Guard against theft. Make sure the area is safe and protected.,NA,NA
33-9032,33-9032.00,Security Guards,2134,Write daily reports about problems that happen on site. Note any damage or theft that takes place. Note any people or events that are unusual.,Unusual,Not normal.
33-9032,33-9032.00,Security Guards,2141,"Check security systems, equipment, and machines. Make sure they are working right. Make sure no one tries to stop them from working.",NA,NA
33-9091,33-9091.00,Crossing Guards,11118,"Guide traffic and people. Make sure everyone can cross traffic safely. Work at road and railroad crossings, schools, and building sites.",NA,NA
33-9091,33-9091.00,Crossing Guards,11122,"Direct traffic using hands, signs, and lights. Warn about risks and guide traffic safely past them.",NA,NA
33-9091,33-9091.00,Crossing Guards,11124,Stop drivers who are speeding. Warn them about traffic laws.,NA,NA
33-9092,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",5041,"Check to make sure recreation sites are safe. Check places such as trails, ski slopes, and swimming spots. Work on foot, in vehicles, or from towers.",Recreation,A fun pastime.
33-9092,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",5041,"Check to make sure recreation sites are safe. Check places such as trails, ski slopes, and swimming spots. Work on foot, in vehicles, or from towers.",Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
33-9092,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",20129,Make sure the quality of pool water is correct. Test the level of chemicals.,NA,NA
33-9092,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",5049,"Watch how people are acting and make sure they stay safe. Use binoculars. Check for risks, problems, and rule breaking.",Binoculars,Equipment you look through to make far-away objects look closer and bigger.
35-1012,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,18715,Help clean kitchen and dining places. Watch other workers to make sure they clean up those places.,NA,NA
35-1012,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2154,"Tell workers how much food to prepare and serve, in what order and when. Plan how to set up workstations and equipment.",NA,NA
35-1012,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2156,Greet and seat guests. Give them menus and wine lists.,Menu,A listing of foods that people can buy at a restaurant.
35-2012,35-2012.00,"Cooks, Institution and Cafeteria",9492,Keep track of food use. Gather and update records.,NA,NA
35-2012,35-2012.00,"Cooks, Institution and Cafeteria",9490,Keep track of government food supplies. Make sure they are used the right way and that rules are followed.,NA,NA
35-2012,35-2012.00,"Cooks, Institution and Cafeteria",9497,Check menus and spending to make sure costs stay low.,Menu,A listing of foods served.
35-2014,35-2014.00,"Cooks, Restaurant",2169,Turn or stir foods so they cook in an even way.,NA,NA
35-2014,35-2014.00,"Cooks, Restaurant",2170,"Cook and flavor food with salt, pepper, herbs, and more. Follow recipes and make choices based on your learning and know-how.",Recipe,Instructions that tell you how to make a meal.
35-2014,35-2014.00,"Cooks, Restaurant",2173,Arrange food on plates so that it looks good. Make sure the right amount is served. Give plates to waiters or diners.,Arrange,Put something in order; fit together.
35-3011,35-3011.00,Bartenders,2223,Collect money owed for drinks.,NA,NA
35-3011,35-3011.00,Bartenders,2228,Take drink orders from serving staff or customers.,NA,NA
35-3011,35-3011.00,Bartenders,2229,Serve wine and beer.,NA,NA
37-1011,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,9515,"Make sure cleaners do their tasks well. Help clean, if needed.",NA,NA
37-1011,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,9512,Explain how to stop the spread of germs in places like hospitals. Make sure those steps are followed.,Germ,A tiny living thing that spreads illness.
37-1011,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,9533,"Run in-house laundry, dry-cleaning, and valet services. Make sure workers do their tasks well.",Valet,Parking.
37-1011,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,9533,"Run in-house laundry, dry-cleaning, and valet services. Make sure workers do their tasks well.",Services,"Helpful acts, things that are done for other people."
37-2011,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",9540,"Clean floors. Sweep, mop, wash, or vacuum.",NA,NA
37-2011,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",9541,Use chemical cleaners and power equipment. Follow rules to make sure nothing gets damaged.,NA,NA
37-2011,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",9542,Mix water with soap or acid to make cleansers. Mix them in containers. Follow guidelines.,Cleanser,"Something that cleans, like soap."
37-2012,37-2012.00,Maids and Housekeeping Cleaners,9561,"Clean rooms, hallways, stairways, and other work areas. Make sure health standards are met.",NA,NA
37-2012,37-2012.00,Maids and Housekeeping Cleaners,9563,"Refill supplies in guest rooms. Those include drinking glasses, sheets, bathroom items, and more.",Refill,To fill again.
37-2012,37-2012.00,Maids and Housekeeping Cleaners,9566,"Sweep, scrub, wax, or polish floors. Use brooms, mops, or scrubbing and waxing machines.",NA,NA
37-2021,37-2021.00,Pest Control Workers,7974,Keep a record of what work tasks have been done.,NA,NA
37-2021,37-2021.00,Pest Control Workers,20759,Tell people how to treat and prevent pest problems.,Pests,"Animals that are hard to control. They are often small animals like fleas, bedbugs, and mice."
37-2021,37-2021.00,Pest Control Workers,20759,Tell people how to treat and prevent pest problems.,Prevent,To keep from happening.
37-2021,37-2021.00,Pest Control Workers,7979,Drive a truck that has equipment for power spraying.,NA,NA
37-3012,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",11227,Fill sprayer tanks with water and chemicals. Follow guidelines to get the right mix.,NA,NA
37-3012,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",11232,Connect the hoses and nozzles needed to treat a pest problem. Pick hoses and nozzles that match the place and pests you are treating.,Pests,"Animals that are hard to control. They are often small animals like fleas, bedbugs, and mice."
37-3012,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",11232,Connect the hoses and nozzles needed to treat a pest problem. Pick hoses and nozzles that match the place and pests you are treating.,Nozzle,The spout or opening through which something sprays.
37-3012,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",11233,"Clean or fix equipment so it works well. Use water, gas, oil, grease, or hand tools.",NA,NA
37-3013,37-3013.00,Tree Trimmers and Pruners,13115,"Clean, sharpen, and oil tools and equipment.",NA,NA
37-3013,37-3013.00,Tree Trimmers and Pruners,13118,"Trim, cut down, feed, and spray trees. Follow the orders of a tree surgeon.",Tree surgeon,A person who treats damaged or diseased trees.
37-3013,37-3013.00,Tree Trimmers and Pruners,13120,Run shredding and chipping machines. Feed branches and other wood into the machines.,Shredding and chipping,Tearing or cutting into small pieces.
39-1011,39-1011.00,Gaming Supervisors,4412,"Watch over gaming areas. Make sure house rules are followed. Make sure tribal, state, and national laws are followed. Make sure workers do their jobs well.",NA,NA
39-1011,39-1011.00,Gaming Supervisors,4413,"Make sure gamblers do not cheat. Make sure no one marks, switches, or counts cards. Alert security staff to any cheating.",NA,NA
39-1011,39-1011.00,Gaming Supervisors,4418,Make and run banks and table limits for each game.,NA,NA
39-1012,39-1012.00,Slot Supervisors,4435,Respond to and solve players’ complaints.,Complaint,Reason someone is not happy or pleased.
39-1012,39-1012.00,Slot Supervisors,4437,Reset slot machines after they have paid out winnings.,NA,NA
39-1012,39-1012.00,Slot Supervisors,4436,Walk through certain parts of the gaming floor. Make sure players are following rules. Make sure machines are working well.,NA,NA
39-2011,39-2011.00,Animal Trainers,7993,Talk to and handle animals. Get them used to human voices or contact.,NA,NA
39-2011,39-2011.00,Animal Trainers,7999,Train horses to carry riders or pull carts. Use spoken or hand commands. Use riding equipment.,NA,NA
39-2011,39-2011.00,Animal Trainers,8000,Put riding gear onto horses. Get horses used to the feel of equipment.,NA,NA
39-3011,39-3011.00,Gaming Dealers,4447,Deal cards and figure out who is the winner.,NA,NA
39-3011,39-3011.00,Gaming Dealers,4445,Give out cash for gaming chips. Give out dollars for coins.,NA,NA
39-3011,39-3011.00,Gaming Dealers,4449,Make sure all players have placed their bets before play begins.,NA,NA
39-3012,39-3012.00,Gaming and Sports Book Writers and Runners,8012,"Run gambling tables or games of chance. Those include dice, cards, and more. Make sure game rules are followed.",NA,NA
39-3012,39-3012.00,Gaming and Sports Book Writers and Runners,8016,Give out cash for gaming chips. Give out dollars for coins.,NA,NA
39-3012,39-3012.00,Gaming and Sports Book Writers and Runners,8011,Make sure all players have placed their bets before play begins.,NA,NA
39-3031,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5096,Greet people at entertainment events.,Entertainment,"Film, TV, music, dance, plays, and other performing arts that amuse people."
39-3031,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",20764,Sell or take entry tickets and passes.,NA,NA
39-3031,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5107,Sell food and drinks during breaks in events. Get food and drink for people sitting in the press box.,NA,NA
39-3092,39-3092.00,Costume Attendants,9616,Arrange costumes in the order they will be worn. Help speed up costume changes during events.,Arrange,Put in order.
39-3092,39-3092.00,Costume Attendants,9616,Arrange costumes in the order they will be worn. Help speed up costume changes during events.,Costumes,The clothes that performers wear.
39-3092,39-3092.00,Costume Attendants,9615,Hand out costumes or equipment. Keep records of who has what items.,Costumes,The clothes that performers wear.
39-3092,39-3092.00,Costume Attendants,9626,"Keep records of costumes, wigs, or makeup. Keep those items safe and ready to use. Give access to people who are allowed to handle the items.",Costumes,The clothes that performers wear.
39-3092,39-3092.00,Costume Attendants,9626,"Keep records of costumes, wigs, or makeup. Keep those items safe and ready to use. Give access to people who are allowed to handle the items.",Access,The right to use a place or thing.
39-3093,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4472,Make sure customers follow the rules. Make sure the space stays safe and in order.,NA,NA
39-3093,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4469,"Clean and shine shoes. Use brushes, sponges, cleaners, waxes, and more.",NA,NA
39-3093,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4473,"Get food, drinks, and other items that are asked for.",NA,NA
