"","soc_uni","soc","original_title","new_occ_title","new_occ_description","new_occ_word","new_occ_definition"
"17","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","Cleaners and servicers keep septic tanks and sewer pipes working well. Septic tanks and sewer pipes carry and store human waste. Workers clean pipes, drains, and tanks. They fix and replace broken parts.","Cleaners and servicers keep septic tanks and sewer pipes working well. Septic tanks and sewer pipes carry and store human waste. Workers clean pipes, drains, and tanks. They fix and replace broken parts.","Servicer","Person who keeps something in good working order."
"18","47-5011","47-5011.00","Derrick Operators, Oil and Gas","Workers set up and run oil and gas derricks. Derricks are tower-like frames set up over drill holes.  ","Workers set up and run oil and gas derricks. Derricks are tower-like frames set up over drill holes.  ",NA,NA
"19","47-5071","47-5071.00","Roustabouts – Oil and Gas","Roustabouts work in the oil and gas field. They set up and fix equipment using hand and power tools. They do other tasks as needed.  ","Roustabouts work in the oil and gas field. They set up and fix equipment using hand and power tools. They do other tasks as needed.  ",NA,NA
"20","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers","Cutters and trimmers work with meat, poultry, and fish. They prepare it to be sold as food. They get rid of skin, feathers, scales, and bones. They use their hands or hand tools to cut and trim the meat.","Cutters and trimmers work with meat, poultry, and fish. They prepare it to be sold as food. They get rid of skin, feathers, scales, and bones. They use their hands or hand tools to cut and trim the meat.","Poultry","Birds such as chickens, ducks, turkeys, geese, and fowl."
"21","51-3023","51-3023.00","Slaughterers and Meat Packers","Slaughterers and meat packers prepare meat for sale. Some kill livestock. Some cut, trim, skin, sort, and wash animal carcasses or parts to make food products. Some make sausages. Some grind or wrap meats.","Slaughterers and meat packers prepare meat for sale. Some kill livestock. Some cut, trim, skin, sort, and wash animal carcasses or parts to make food products. Some make sausages. Some grind or wrap meats.","Carcasses","Dead bodies of animals."
"22","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","Laundry and dry-cleaning workers wash cloth items. They run or tend washing and dry-cleaning machines. They clean items like clothes, furs, blankets, and carpets. Some press, dye, fold, or sort laundry.","Laundry and dry-cleaning workers wash cloth items. They run or tend washing and dry-cleaning machines. They clean items like clothes, furs, blankets, and carpets. Some press, dye, fold, or sort laundry.","Dye","To color something."
"23","53-3041","53-3041.00","Taxi Drivers and Chauffeurs","Drivers and chauffeurs drive people or things from one place to another. Some drive taxis, vans, trucks, or limousines. Some drive hearses, which carry coffins. Some drivers take payments from riders. ","Drivers and chauffeurs drive people or things from one place to another. Some drive taxis, vans, trucks, or limousines. Some drive hearses, which carry coffins. Some drivers take payments from riders. ",NA,NA
"24","27-1023","27-1023.00","Floral Designers","Florists work with flowers and plants. They design bouquets of flowers for sale. They cut and arrange live, dried, or fake flowers and plants.","Florists work with flowers and plants. They design bouquets of flowers for sale. They cut and arrange live, dried, or fake flowers and plants.","Bouquets","Bunches of flowers."
"25","27-3012","27-3012.00","Public Address System and Other Announcers","Announcers speak to groups of people. Some use public address (PA) systems. Some work at sport events or public events. Some work at weddings, parties, clubs, or gatherings. Some help run events. Some work on TV or radio.","Announcers speak to groups of people. Some use public address (PA) systems. Some work at sport events or public events. Some work at weddings, parties, clubs, or gatherings. Some help run events. Some work on TV or radio.","Public address systems","Machines that make sound loud enough for many people to hear it."
"26","29-2051","29-2051.00","Dietetic Technicians","Dietary aides help with programs for healthy eating. Some plan meals. They base the meals on health guidelines. Some teach others about healthy eating.  ","Dietary aides help with programs for healthy eating. Some plan meals. They base the meals on health guidelines. Some teach others about healthy eating.  ",NA,NA
"27","31-1011","31-1011.00","Home Health Aides","Home health aides work with sick, hurt, elderly, or disabled people. They often visit a patient’s home. Some work at in-patient homes. They check and report on patients’ health. Some do hands-on care like wound care, washing, dressing, or grooming of patients.","Home health aides work with sick, hurt, elderly, or disabled people. They often visit a patient’s home. Some work at in-patient homes. They check and report on patients’ health. Some do hands-on care like wound care, washing, dressing, or grooming of patients.","In-patient homes","Places where patients stay, outside of their homes, to get care."
"28","31-1013","31-1013.00","Psychiatric Aides","Mental health aides help patients who have mental health problems. Aides follow the orders of nurses and doctors. Some aides help patients with daily living tasks. Some lead patient activities. Some take patients to and from treatments. Aides might have to restrain patients who get violent.","Mental health aides help patients who have mental health problems. Aides follow the orders of nurses and doctors. Some aides help patients with daily living tasks. Some lead patient activities. Some take patients to and from treatments. Aides might have to restrain patients who get violent.",NA,NA
"29","31-1014","31-1014.00","Nursing Assistants","Nursing assistants help nurses care for sick or hurt patients. They feed, bathe, dress, and groom patients. They move patients and change bedsheets. Some transport patients from one place to another.","Nursing assistants help nurses care for sick or hurt patients. They feed, bathe, dress, and groom patients. They move patients and change bedsheets. Some transport patients from one place to another.",NA,NA
"30","31-1015","31-1015.00","Orderlies","Orderlies work with sick and hurt patients. They move patients in wheelchairs, stretchers, and beds with wheels. Some orderlies stock supplies and clean equipment. Some bring equipment to where it is needed.","Orderlies work with sick and hurt patients. They move patients in wheelchairs, stretchers, and beds with wheels. Some orderlies stock supplies and clean equipment. Some bring equipment to where it is needed.",NA,NA
"31","31-2022","31-2022.00","Physical Therapist Aides","Aides help physical therapists. They work around patients. They follow orders and perform tasks that they are told to do. They get patients ready for treatment. They also get treatment areas ready.  ","Aides help physical therapists. They work around patients. They follow orders and perform tasks that they are told to do. They get patients ready for treatment. They also get treatment areas ready.  ",NA,NA
"32","31-9093","31-9093.00","Medical Equipment Preparers","Preparers get healthcare equipment ready for use. They work in a lab or healthcare setting. They clean and install equipment. They check equipment. They perform daily tasks.","Preparers get healthcare equipment ready for use. They work in a lab or healthcare setting. They clean and install equipment. They check equipment. They perform daily tasks.",NA,NA
"33","31-9095","31-9095.00","Pharmacy Aides","Pharmacy aides work with drugs and medicine. They keep track of drugs that come in. They decide when more drugs need to be ordered. They store drugs in the right places. Some aides work with customers. They use the cash register and accept prescriptions that need to be filled.","Pharmacy aides work with drugs and medicine. They keep track of drugs that come in. They decide when more drugs need to be ordered. They store drugs in the right places. Some aides work with customers. They use the cash register and accept prescriptions that need to be filled.","Prescription","An order for a drug, written by a doctor."
"34","33-3011","33-3011.00","Bailiffs","Bailiffs keep order in courts of law.","Bailiffs keep order in courts of law.",NA,NA
"35","33-3012","33-3012.00","Correctional Officers and Jailers","Prison officers and jailers guard inmates. Some guard prisoners who are being moved between jail, courtroom, prison, and other points. Some work mainly in jails or prisons. They follow strict rules and guidelines.","Prison officers and jailers guard inmates. Some guard prisoners who are being moved between jail, courtroom, prison, and other points. Some work mainly in jails or prisons. They follow strict rules and guidelines.",NA,NA
"36","33-9011","33-9011.00","Animal Control Workers","Animal control workers handle animals. They check on animals that have been mistreated. They catch loose or stray animals. They catch dangerous animals. They write reports. They contact pet owners. They take care of animals they have caught.","Animal control workers handle animals. They check on animals that have been mistreated. They catch loose or stray animals. They catch dangerous animals. They write reports. They contact pet owners. They take care of animals they have caught.",NA,NA
"37","33-9032","33-9032.00","Security Guards","Security guards keep places safe. They guard, patrol, and watch the place where they work. They do so to stop people from stealing, breaking rules, or getting violent. Some guards spend a lot of time standing, walking, or sitting. Some use equipment like x-ray and metal-detector machines.","Security guards keep places safe. They guard, patrol, and watch the place where they work. They do so to stop people from stealing, breaking rules, or getting violent. Some guards spend a lot of time standing, walking, or sitting. Some use equipment like x-ray and metal-detector machines.",NA,NA
"38","33-9091","33-9091.00","Crossing Guards","Crossing guards work in the road. They help people and cars cross streets safely. They guide traffic and people. They work at schools, building sites, and railroad crossings.","Crossing guards work in the road. They help people and cars cross streets safely. They guide traffic and people. They work at schools, building sites, and railroad crossings.",NA,NA
"39","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Safety workers keep people safe at recreation sites. They work at places like pools, beaches, and ski slopes. They help people in need. They protect people from harm. They make sure people don’t break safety rules.","Safety workers keep people safe at recreation sites. They work at places like pools, beaches, and ski slopes. They help people in need. They protect people from harm. They make sure people don’t break safety rules.","Recreation","A fun pastime."
"40","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers","First-line supervisors watch over workers who prepare and serve food. They give workers tasks to do. They make sure workers are doing their jobs in the right way. They make sure rules are followed.","First-line supervisors watch over workers who prepare and serve food. They give workers tasks to do. They make sure workers are doing their jobs in the right way. They make sure rules are followed.",NA,NA
"41","35-2012","35-2012.00","Cooks - Institution and Cafeteria","Some cooks work for institutions such as schools, hospitals, or cafeterias. They prepare a lot of food at one time. The cook for many people at once.","Some cooks work for institutions such as schools, hospitals, or cafeterias. They prepare a lot of food at one time. The cook for many people at once.","Institution","A public or private setting like a school, hospital, or prison."
"42","35-2014","35-2014.00","Cooks - Restaurant","Some cooks work in restaurants. They prepare food that diners order. Some order supplies and keep records. Some set prices on the menu. Some plan the menu.","Some cooks work in restaurants. They prepare food that diners order. Some order supplies and keep records. Some set prices on the menu. Some plan the menu.","Menu","A listing of foods that people can buy at a restaurant."
"43","35-3011","35-3011.00","Bartenders","Bartenders mix drinks for customers. They work in bars and restaurants. Some bartenders serve drinks right to the customers. Some get drinks ready for waitstaff to serve.","Bartenders mix drinks for customers. They work in bars and restaurants. Some bartenders serve drinks right to the customers. Some get drinks ready for waitstaff to serve.",NA,NA
"44","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers","First-line supervisors watch over workers who clean buildings, schools, offices, and other places. They give workers tasks to do. They make sure workers are doing their jobs in the right way. They make sure rules are followed.","First-line supervisors watch over workers who clean buildings, schools, offices, and other places. They give workers tasks to do. They make sure workers are doing their jobs in the right way. They make sure rules are followed.",NA,NA
"45","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and cleaners keep buildings clean and neat. They pick up trash. Some do heavy cleaning. Some clear snow and clean sidewalks. Some keep equipment running right.","Janitors and cleaners keep buildings clean and neat. They pick up trash. Some do heavy cleaning. Some clear snow and clean sidewalks. Some keep equipment running right.",NA,NA
"46","37-2012","37-2012.00","Maids and Housekeeping Cleaners","Maids and housekeepers do a number of light cleaning tasks. Some work in private homes. Some work in public or business settings, like hotels and hospitals. They keep these places neat and clean. Some use vacuums and other cleaning equipment.","Maids and housekeepers do a number of light cleaning tasks. Some work in private homes. Some work in public or business settings, like hotels and hospitals. They keep these places neat and clean. Some use vacuums and other cleaning equipment.",NA,NA
"47","37-2021","37-2021.00","Pest Control Workers","Pest control workers help get rid of pests and vermin. Workers use chemical mixes and poison gases to kill pests. They set traps to catch and remove pests.","Pest control workers help get rid of pests and vermin. Workers use chemical mixes and poison gases to kill pests. They set traps to catch and remove pests.","Pests and vermin","Animals that are hard to control. Pests are often small animals like fleas, bedbugs, and mice."
"48","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","Pesticide handlers treat plants and food crops with chemicals. The chemicals kill pests, insects, weeds, fungus, and other things. Some handlers spray chemicals. Some use dusts and gases or put chemicals in the ground. They treat trees, bushes, lawns, and crops. They often need special training and a license.","Pesticide handlers treat plants and food crops with chemicals. The chemicals kill pests, insects, weeds, fungus, and other things. Some handlers spray chemicals. Some use dusts and gases or put chemicals in the ground. They treat trees, bushes, lawns, and crops. They often need special training and a license.","Pests","Animals that are hard to control. Pests are often small animals like fleas, bedbugs, and mice"
"49","37-3013","37-3013.00","Tree Trimmers and Pruners","Tree trimmers and pruners cut away parts of trees and bushes. They use special climbing and rigging methods. They use saws, clippers, and other equipment. They often work off the ground, high up in the trees. Some use lifts to reach high branches.","Tree trimmers and pruners cut away parts of trees and bushes. They use special climbing and rigging methods. They use saws, clippers, and other equipment. They often work off the ground, high up in the trees. Some use lifts to reach high branches.","Rigging methods","Ways of tying and moving heavy objects."
"50","39-1011","39-1011.00","Gaming Supervisors","Supervisors watch over workers in gaming areas, such as hotels and casinos. They walk past gaming tables. They check that everything is running smoothly. They handle complaints. They make sure there are enough workers to cover each shift. They give workers tasks to do. The make sure rules are followed.","Supervisors watch over workers in gaming areas, such as hotels and casinos. They walk past gaming tables. They check that everything is running smoothly. They handle complaints. They make sure there are enough workers to cover each shift. They give workers tasks to do. The make sure rules are followed.","Complaints","Reasons someone is not happy or pleased."
"51","39-1012","39-1012.00","Slot Supervisors","Supervisors run slot machine departments. They reset machines after payoffs. They check payoffs and give money to winners. They fix or adjust slot machines. They check if machines need repair. They make sure safety rules are followed. They handle and settle complaints.","Supervisors run slot machine departments. They reset machines after payoffs. They check payoffs and give money to winners. They fix or adjust slot machines. They check if machines need repair. They make sure safety rules are followed. They handle and settle complaints.","Slot machine","A gambling machine where people put in coins and hope to win a big payoff."
"52","39-2011","39-2011.00","Animal Trainers","Trainers get animals ready to do certain kinds of work. They get animals used to human voice and touch. They train animals to follow commands. Some train animals for riding. Some train them to carry packs or work as part of team. Some train them for contests. Some train them to work with disabled people.","Trainers get animals ready to do certain kinds of work. They get animals used to human voice and touch. They train animals to follow commands. Some train animals for riding. Some train them to carry packs or work as part of team. Some train them for contests. Some train them to work with disabled people.",NA,NA
"53","39-3011","39-3011.00","Gaming Dealers","Gaming dealers run games of chance. They stand or sit behind the game table. They give out cards, chips, or blocks. They use and run gaming equipment. They collect players’ money or chips. They hand out winnings. They might compare the house’s cards to players’ cards.","Gaming dealers run games of chance. They stand or sit behind the game table. They give out cards, chips, or blocks. They use and run gaming equipment. They collect players’ money or chips. They hand out winnings. They might compare the house’s cards to players’ cards.",NA,NA
"54","39-3012","39-3012.00","Gaming and Sports Book Writers and Runners","Workers post information to help gamblers place bets on races and sporting events. They take and record customers’ bets. They check that bets are correct. They scan winning tickets. They pay out winnings on bets. Some help run games such as keno and bingo.","Workers post information to help gamblers place bets on races and sporting events. They take and record customers’ bets. They check that bets are correct. They scan winning tickets. They pay out winnings on bets. Some help run games such as keno and bingo.",NA,NA
"55","39-3031","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","Ushers and ticket takers work in entertainment settings. They work at movie theaters, plays, sports events, and concerts. They take entry tickets and passes. They help people find seats. They point the way to the restrooms. They deal with lost and found.  ","Ushers and ticket takers work in entertainment settings. They work at movie theaters, plays, sports events, and concerts. They take entry tickets and passes. They help people find seats. They point the way to the restrooms. They deal with lost and found.  ","Entertainment","Film, TV, music, dance, plays, and other performing arts that amuse people."
"56","39-3092","39-3092.00","Costume Attendants","Costume helpers work with entertainers. They pick out, fit, and take care of clothes and outfits worn by cast members. They help cast members change clothes during performances.","Costume helpers work with entertainers. They pick out, fit, and take care of clothes and outfits worn by cast members. They help cast members change clothes during performances.","Entertainers","People who work in film, TV, music, dance, plays, or other performing areas."
"57","39-3093","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants","Attendants give personal items to customers. Some work in locker rooms and washrooms. They hand out towels and other things. Some work in dressing rooms. Some help people check or store their coats and bags during an event.  ","Attendants give personal items to customers. Some work in locker rooms and washrooms. They hand out towels and other things. Some work in dressing rooms. Some help people check or store their coats and bags during an event.  ",NA,NA
"58","39-4021","39-4021.00","Funeral Attendants","Funeral attendants help at funerals. They put out the casket before the service. They set up flowers and lights. They show mourners where to go. They close the casket. They put away and store funeral equipment.","Funeral attendants help at funerals. They put out the casket before the service. They set up flowers and lights. They show mourners where to go. They close the casket. They put away and store funeral equipment.","Funeral","Service for a person who has died."
"59","39-5092","39-5092.00","Manicurists and Pedicurists","Manicurists and pedicurists work in the beauty field. They care for people’s hand and feet. They clean and shape fingernails and toenails. Some paint, polish, or decorate nails.","Manicurists and pedicurists work in the beauty field. They care for people’s hand and feet. They clean and shape fingernails and toenails. Some paint, polish, or decorate nails.","Manicurist","Person who cares for people’s hands."
"60","39-5093","39-5093.00","Shampooers","Shampooers clean and rinse people’s hair.","Shampooers clean and rinse people’s hair.",NA,NA
"61","39-6011","39-6011.00","Baggage Porters and Bellhops","Handlers and bellhops help carry people’s bags and suitcases. They keep track of bags. They work at hotels, airports, and train and bus stations.","Handlers and bellhops help carry people’s bags and suitcases. They keep track of bags. They work at hotels, airports, and train and bus stations.",NA,NA
"62","39-9011","39-9011.00","Childcare Workers","Workers take care of children. They watch over play. They might feed, wash, and dress children. They work in schools, businesses, homes, and childcare settings.","Workers take care of children. They watch over play. They might feed, wash, and dress children. They work in schools, businesses, homes, and childcare settings.",NA,NA
"63","39-9021","39-9021.00","Personal Care Aides","Aides work with elderly, sick, hurt, or disabled people. They help those people do daily tasks. Some aides do cleaning and make meals. Some give patients and families tips about healthy eating, cleaning, and household tasks. Aides often visit patients’ homes. Some work in healthcare settings.","Aides work with elderly, sick, hurt, or disabled people. They help those people do daily tasks. Some aides do cleaning and make meals. Some give patients and families tips about healthy eating, cleaning, and household tasks. Aides often visit patients’ homes. Some work in healthcare settings.",NA,NA
"64","41-2022","41-2022.00","Parts Salespersons","Clerks sell parts and equipment in repair shops or parts stores.","Clerks sell parts and equipment in repair shops or parts stores.","Parts","Pieces needed to make a whole machine work. Example"
"65","41-2031","41-2031.00","Retail Salespersons","Retail clerks sell things  to buyers like clothes, cars, and food.  They often work in stores.","Retail clerks sell things  to buyers like clothes, cars, and food.  They often work in stores.",NA,NA
"66","41-9011","41-9011.00","Demonstrators and Product Promoters","Product promoters try to get people to buy what they are selling. They teach buyers how those things work. They answer questions. Some give out samples and tastes.","Product promoters try to get people to buy what they are selling. They teach buyers how those things work. They answer questions. Some give out samples and tastes.",NA,NA
"67","41-9041","41-9041.00","Telemarketers","Telemarketers make phone calls. They ask for money or make sales over the phone.","Telemarketers make phone calls. They ask for money or make sales over the phone.",NA,NA
"68","43-3041","43-3041.00","Gaming Cage Workers","Cage workers handle money in gaming settings. Some check players’ credit. Some set up credit lines. Some sell gambling chips, tokens, or tickets to play. Some add up money owed or won. Some hand out winnings to players. Some work with cash registers or computers.","Cage workers handle money in gaming settings. Some check players’ credit. Some set up credit lines. Some sell gambling chips, tokens, or tickets to play. Some add up money owed or won. Some hand out winnings to players. Some work with cash registers or computers.","Credit","The amount of money someone can be trusted to borrow and spend before they pay it back."
"69","43-3051","43-3051.00","Payroll and Timekeeping Clerks","Payroll clerks keep track of workers’ hours and pay. They keep records of time worked and money earned. They get paychecks ready.","Payroll clerks keep track of workers’ hours and pay. They keep records of time worked and money earned. They get paychecks ready.",NA,NA
"70","43-4051","43-4051.00","Customer Service Representatives","Service workers help fix problems that customers have. They answer questions. They make returns. They handle complaints.","Service workers help fix problems that customers have. They answer questions. They make returns. They handle complaints.","Complaints","Reasons someone is not happy or pleased."
"71","43-4081","43-4081.00","Hotel, Motel, and Resort Desk Clerks","Desk clerks help guests who are staying at hotels, motels, and resorts. They help guests book rooms. They give out room keys and cards. They take phone messages. They keep track of money guests owe. They hand out bills and take payment.","Desk clerks help guests who are staying at hotels, motels, and resorts. They help guests book rooms. They give out room keys and cards. They take phone messages. They keep track of money guests owe. They hand out bills and take payment.",NA,NA
"72","43-4111","43-4111.00","Interviewers, Except Eligibility and Loan","Interviewers ask people questions. They do so by phone, mail, in person, or in other ways. They write down answers and fill out forms. Some sort and file forms.","Interviewers ask people questions. They do so by phone, mail, in person, or in other ways. They write down answers and fill out forms. Some sort and file forms.",NA,NA
"73","43-4121","43-4121.00","Library Assistants, Clerical","Clerks keep track of items that belong to the library. That includes books, journals, online items, and other things. Clerks find and hand out items to library users. They also take back items and put them back in the right place. They help users get library cards and use the library.","Clerks keep track of items that belong to the library. That includes books, journals, online items, and other things. Clerks find and hand out items to library users. They also take back items and put them back in the right place. They help users get library cards and use the library.",NA,NA
"74","43-4151","43-4151.00","Order Clerks","Clerks take and fill orders. Orders can be for goods or services. Clerks take orders by phone, fax, or online. They tell buyers how much things cost and when orders will ship. They send receipts and contracts. Some handle complaints.","Clerks take and fill orders. Orders can be for goods or services. Clerks take orders by phone, fax, or online. They tell buyers how much things cost and when orders will ship. They send receipts and contracts. Some handle complaints.","Complaints","Reasons someone is not happy or pleased."
"75","43-4171","43-4171.00","Receptionists and Information Clerks","Receptionists work with the public. They work with guests and people doing business with a company. They greet people and tell them things they need to know. They answer questions. They often work in offices. Some answer phones.","Receptionists work with the public. They work with guests and people doing business with a company. They greet people and tell them things they need to know. They answer questions. They often work in offices. Some answer phones.",NA,NA
"76","43-4181","43-4181.00","Reservation and Transportation Ticket Agents and Travel Clerks","Clerks help people with travel. Some. help set up travel plans and tours. Some sell tickets. Some check bags and tell customers where to go to catch their train, plane, bus, or boat.","Clerks help people with travel. Some. help set up travel plans and tours. Some sell tickets. Some check bags and tell customers where to go to catch their train, plane, bus, or boat.",NA,NA
"77","43-5011","43-5011.00","Cargo and Freight Agents","Agents help with shipments of freight and cargo. Planes, trains, trucks, and boats carry freight and cargo. Agents set up shipping, pickup, and drop-off of shipments. They prepare bills and add up shipping charges and fees.","Agents help with shipments of freight and cargo. Planes, trains, trucks, and boats carry freight and cargo. Agents set up shipping, pickup, and drop-off of shipments. They prepare bills and add up shipping charges and fees.","Freight and cargo","Objects being sent from one place to another."
