SOC,Title,Job Zone,Group,Total,Hourly Median,Annual Median,2014 Distribution (%),2024 Distribution (%),Change (Total),Change (%),2014-2024 Openings,Description
23-2093,"Title Examiners, Abstractors, and Searchers",2,Legal,54560,22.02,45800,0,0,-0.2,-0.3,15.6,"Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies."
27-1023,Floral Designers,2,"Arts, Design, Entertainment, Sports, & Media",43990,12.43,25850,0,0,-2,-3.4,14,"Design, cut, and arrange live, dried, or artificial flowers and foliage."
27-2011,Actors,2,"Arts, Design, Entertainment, Sports, & Media",48620,18.7,NA,0,0,6.6,9.6,34,"Play parts in stage, television, radio, video, motion picture productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing."
27-3012,Public Address System and Other Announcers,2,"Arts, Design, Entertainment, Sports, & Media",8020,13.91,28940,0,0,0.3,2.9,3.2,"Make announcements over public address system at sporting or other public events. May act as master of ceremonies or disc jockey at weddings, parties, clubs, or other gathering places."
29-2051,Dietetic Technicians,2,Healthcare Practitioners & Technical,32240,12.67,26350,0,0,3.9,13.3,6.8,"Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals."
31-1011,Home Health Aides,2,Healthcare Support,814300,10.87,22600,0.6,0.8,348.4,38.1,554.8,"Provide routine individualized healthcare such as changing bandages and dressing wounds, and applying topical medications to the elderly, convalescents, or persons with disabilities at the patient's home or in a care facility. Monitor or report changes in health status. May also provide personal care such as bathing, dressing, and grooming of patient."
31-1013,Psychiatric Aides,2,Healthcare Support,67410,12.85,26720,0.1,0.1,4.1,5.3,21.6,"Assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies."
31-1014,Nursing Assistants,2,Healthcare Support,1443150,12.78,26590,1,1.1,262,17.6,599,"Provide basic patient care under direction of nursing staff. Perform duties such as feed, bathe, dress, groom, or move patients, or change linens. May transfer or transport patients. Includes nursing care attendants, nursing aides, and nursing attendants."
31-1015,Orderlies,2,Healthcare Support,52940,12.83,26690,0,0,5.8,10.9,17.8,"Transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds. May maintain stocks of supplies or clean and transport equipment."
31-2022,Physical Therapist Aides,2,Healthcare Support,50030,12.35,25680,0,0,19.5,39,34,"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area."
31-9093,Medical Equipment Preparers,2,Healthcare Support,52500,16.54,34400,0,0,7.3,14,18.1,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment."
31-9095,Pharmacy Aides,2,Healthcare Support,36660,12.14,25240,0,0,0.1,0.3,8.8,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling."
33-3011,Bailiffs,2,Protective Service,17880,20.52,42670,0,0,0.8,4.7,5.6,Maintain order in courts of law.
33-3012,Correctional Officers and Jailers,2,Protective Service,431600,20.59,42820,0.3,0.3,17.1,3.7,143,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions."
33-9011,Animal Control Workers,2,Protective Service,12970,16.61,34550,0,0,0.9,5.8,4.3,"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals."
33-9032,Security Guards,2,Protective Service,1103120,12.39,25770,0.7,0.7,55.5,5.1,209.6,"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules. May operate x-ray and metal detector equipment."
33-9091,Crossing Guards,2,Protective Service,72900,12.84,26700,0,0,4.5,6.4,17,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites."
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2,Protective Service,145100,9.76,20290,0.1,0.1,9.5,6.7,29.4,"Monitor recreational areas, such as pools, beaches, or ski slopes to provide assistance and protection to participants."
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,2,Food Preparation & Serving Related,908550,15.13,31480,0.6,0.6,88.5,9.9,352.9,Directly supervise and coordinate activities of workers engaged in preparing and serving food.
35-2012,"Cooks, Institution and Cafeteria",2,Food Preparation & Serving Related,409850,11.9,24750,0.3,0.3,26.3,6.3,136.8,"Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias."
35-2014,"Cooks, Restaurant",2,Food Preparation & Serving Related,1217370,11.61,24140,0.7,0.8,158.9,14.3,452.5,"Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu."
35-3011,Bartenders,2,Food Preparation & Serving Related,603320,10,20800,0.4,0.4,60.1,10.3,278.3,"Mix and serve drinks to patrons, directly or through waitstaff."
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,2,Building & Grounds Cleaning & Maintenance,161140,18.36,38190,0.2,0.2,14.9,6,54,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments."
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2,Building & Grounds Cleaning & Maintenance,2161740,11.63,24190,1.6,1.6,136.3,5.8,605.2,"Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk."
37-2012,Maids and Housekeeping Cleaners,2,Building & Grounds Cleaning & Maintenance,924640,10.49,21820,1,1,111.7,7.7,459.4,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming."
37-2021,Pest Control Workers,2,Building & Grounds Cleaning & Maintenance,72830,15.88,33040,0,0,-0.9,-1.2,18.6,Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2,Building & Grounds Cleaning & Maintenance,25230,16.22,33740,0,0,1.4,3.8,7.9,"Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or botanical crops. Usually requires specific training and State or Federal certification."
37-3013,Tree Trimmers and Pruners,2,Building & Grounds Cleaning & Maintenance,40680,16.84,35030,0,0,3,5.6,12.6,"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts."
39-1011,Gaming Supervisors,2,Personal Care & Service,22130,24.29,50520,0,0,0.2,0.7,9.4,Supervise and coordinate activities of workers in assigned gaming areas. Circulate among tables and observe operations. Ensure that stations and games are covered for each shift. May explain and interpret operating rules of house to patrons. May plan and organize activities and services for guests in hotels/casinos. May address service complaints.
39-1012,Slot Supervisors,2,Personal Care & Service,7640,17.35,36080,0,0,-0.2,-3.2,2.4,Supervise and coordinate activities of slot department workers to provide service to patrons. Handle and settle complaints of players. Verify and pay off jackpots. Reset slot machines after payoffs. Make repairs or adjustments to slot machines or recommend removal of slot machines for repair. Report hazards and enforce safety rules.
39-2011,Animal Trainers,2,Personal Care & Service,13590,13.31,27690,0,0,4.1,11.1,17.4,"Train animals for riding, harness, security, performance, or obedience, or assisting persons with disabilities. Accustom animals to human voice and contact; and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team."
39-3011,Gaming Dealers,2,Personal Care & Service,94570,9.27,19290,0,0,0.4,0.6,18.8,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gaming equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands."
39-3012,Gaming and Sports Book Writers and Runners,2,Personal Care & Service,11460,10.87,22600,0,0,0.4,3.4,3.5,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and payout winnings for those wagers."
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",2,Personal Care & Service,117920,9.58,19920,0.1,0.1,6.1,5.3,77.9,"Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and locating such facilities as rest rooms and telephones."
39-3092,Costume Attendants,2,Personal Care & Service,6640,22.07,45900,0,0,0.5,8.8,3.1,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances."
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",2,Personal Care & Service,18040,10.44,21720,0,0,0.9,4.7,8.6,"Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms."
39-4021,Funeral Attendants,2,Personal Care & Service,35770,11.94,24830,0,0,-0.4,-1.2,7.9,"Perform variety of tasks during funeral, such as placing casket in parlor or chapel prior to service; arranging floral offerings or lights around casket; directing or escorting mourners; closing casket; and issuing and storing funeral equipment."
39-5092,Manicurists and Pedicurists,2,Personal Care & Service,90630,10.65,22150,0.1,0.1,11.7,10.3,20.6,Clean and shape customers' fingernails and toenails. May polish or decorate nails.
39-5093,Shampooers,2,Personal Care & Service,15240,9.47,19700,0,0,2.5,10.3,4.3,Shampoo and rinse customers' hair.
39-6011,Baggage Porters and Bellhops,2,Personal Care & Service,44750,10.7,22260,0,0,3.5,8,12.4,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.
39-9011,Childcare Workers,2,Personal Care & Service,569370,10.18,21170,0.8,0.8,69.3,5.5,441.3,"Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play."
39-9021,Personal Care Aides,2,Personal Care & Service,1492250,10.54,21920,1.2,1.4,458.1,25.9,601.1,"Assist the elderly, convalescents, or persons with disabilities with daily living activities at the person's home or in a care facility. Duties performed at a place of residence may include keeping house (making beds, doing laundry, washing dishes) and preparing meals. May provide assistance at non-residential care facilities. May advise families, the elderly, convalescents, and persons with disabilities regarding such things as nutrition, cleanliness, and household activities."
41-2022,Parts Salespersons,2,Sales & Related,248740,14.32,29780,0.2,0.2,16.8,7.2,68.9,Sell spare and replacement parts and equipment in repair shop or parts store.
41-2031,Retail Salespersons,2,Sales & Related,4528550,10.9,22680,3.1,3.1,314.2,6.8,1917.2,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers."
41-9011,Demonstrators and Product Promoters,2,Sales & Related,86500,12.31,25610,0.1,0.1,8.2,8.9,35.8,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.
41-9041,Telemarketers,2,Sales & Related,215290,11.69,24300,0.2,0.1,-7.2,-3,43.9,Solicit donations or orders for goods or services over the telephone.
43-3041,Gaming Cage Workers,2,Office & Administrative Support,18810,12.49,25990,0,0,0.6,5,2.7,"In a gaming establishment, conduct financial transactions for patrons. May reconcile daily summaries of transactions to balance books. May accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gaming chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction."
43-3051,Payroll and Timekeeping Clerks,2,Office & Administrative Support,159650,20.38,42390,0.1,0.1,-5.9,-3.4,46.3,"Compile and record employee time and payroll data. May compute employees' time worked, production, and commission. May compute and post wages and deductions, or prepare paychecks."
43-4051,Customer Service Representatives,2,Office & Administrative Support,2707040,15.53,32300,1.7,1.8,252.9,9.8,888.7,Interact with customers to provide information in response to inquiries about products and services and to handle and resolve complaints.
43-4081,"Hotel, Motel, and Resort Desk Clerks",2,Office & Administrative Support,248440,10.61,22070,0.2,0.2,21.9,9,147.7,"Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests."
43-4111,"Interviewers, Except Eligibility and Loan",2,Office & Administrative Support,186030,15.46,32150,0.1,0.1,10.4,5.2,55.5,"Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms."
43-4121,"Library Assistants, Clerical",2,Office & Administrative Support,98560,12.12,25220,0.1,0.1,5.9,5.4,39.6,"Compile records, sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials."
43-4151,Order Clerks,2,Office & Administrative Support,176850,16.04,33370,0.1,0.1,-1.5,-0.8,53.1,"Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints."
43-4171,Receptionists and Information Clerks,2,Office & Administrative Support,997770,13.42,27920,0.7,0.7,97.8,9.5,375,"Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization."
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,2,Office & Administrative Support,146350,16.94,35230,0.1,0.1,-2,-1.4,17.7,"Make and confirm reservations for transportation or lodging, or sell transportation tickets. May check baggage and direct passengers to designated concourse, pier, or track; deliver tickets, contact individuals and groups to inform them of package tours; or provide tourists with travel or transportation information."
43-5011,Cargo and Freight Agents,2,Office & Administrative Support,88920,20.15,41920,0.1,0.1,5.5,7,31.3,"Expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals, and shipping docks. Take orders from customers and arrange pickup of freight and cargo for delivery to loading platform. Prepare and examine bills of lading to determine shipping charges and tariffs."
43-5021,Couriers and Messengers,2,Office & Administrative Support,74120,13.54,28170,0.1,0.1,4.8,5.2,16.5,"Pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance."
43-5031,"Police, Fire, and Ambulance Dispatchers",2,Office & Administrative Support,95170,18.69,38870,0.1,0.1,-3,-2.9,25.5,"Operate radio, telephone, or computer equipment at emergency response centers. Receive reports from the public of crimes, disturbances, fires, and medical or police emergencies. Relay information to law enforcement and emergency response personnel. May maintain contact with caller until responders arrive."
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",2,Office & Administrative Support,197910,18.24,37940,0.1,0.1,8.8,4.4,58.6,"Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress."
43-5071,"Shipping, Receiving, and Traffic Clerks",2,Office & Administrative Support,676990,14.99,31180,0.4,0.4,-14.5,-2.2,145.5,"Verify and maintain records on incoming and outgoing shipments. Prepare items for shipment. Duties include assembling, addressing, stamping, and shipping merchandise or material; receiving, unpacking, verifying and recording incoming merchandise or material; and arranging for the transportation of products."
43-9021,Data Entry Keyers,2,Office & Administrative Support,194810,14.47,30100,0.1,0.1,-7.9,-3.7,27.6,"Operate data entry device, such as keyboard or photo composing perforator. Duties may include verifying data and preparing materials for printing."
43-9061,"Office Clerks, General",2,Office & Administrative Support,2955550,14.7,30580,2,2,95.8,3.1,756.2,"Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, stenography, office machine operation, and filing."
45-2011,Agricultural Inspectors,2,"Farming, Fishing, & Forestry",14710,20.58,42800,0,0,-0.1,-0.6,3.6,"Inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety."
45-2091,Agricultural Equipment Operators,2,"Farming, Fishing, & Forestry",28700,13.87,28850,0,0,3.1,5.4,18.5,"Drive and control farm equipment to till soil and to plant, cultivate, and harvest crops. May perform tasks, such as crop baling or hay bucking. May operate stationary equipment to perform post-harvest tasks, such as husking, shelling, threshing, and ginning."
47-2021,Brickmasons and Blockmasons,2,Contruction & Extraction,64370,23.68,49250,0.1,0.1,14.5,18.6,21,"Lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances to construct or repair walls, partitions, arches, sewers, and other structures."
47-2041,Carpet Installers,2,Contruction & Extraction,25660,18.4,38280,0,0,-0.2,-0.5,6.3,Lay and install carpet from rolls or blocks on floors. Install padding and trim flooring materials.
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2,Contruction & Extraction,10340,18.19,37840,0,0,2.1,12.2,4.5,"Apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors."
47-2044,Tile and Marble Setters,2,Contruction & Extraction,36830,19.45,40460,0,0,3.5,6.4,11.3,"Apply hard tile, marble, and wood tile to walls, floors, ceilings, and roof decks."
47-2051,Cement Masons and Concrete Finishers,2,Contruction & Extraction,173920,18.84,39180,0.1,0.1,20.3,13.1,39.2,"Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints."
47-2061,Construction Laborers,2,Contruction & Extraction,912100,16.07,33430,0.8,0.8,147.4,12.7,378.6,"Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris and other waste materials. May assist other craft workers."
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",2,Contruction & Extraction,51880,18.74,38970,0,0,5.3,9.2,19.1,"Operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways, or equipment used for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators."
47-2073,Operating Engineers and Other Construction Equipment Operators,2,Contruction & Extraction,356750,22.06,45890,0.2,0.2,37.2,10.2,97.8,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties."
47-2082,Tapers,2,Contruction & Extraction,18480,23.56,48990,0,0,1.1,5.2,2.4,Seal joints between plasterboard or other wallboard to prepare wall surface for painting or papering.
47-2121,Glaziers,2,Contruction & Extraction,47140,20.16,41920,0,0,1.9,4.1,8.4,"Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops."
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",2,Contruction & Extraction,29500,17.15,35660,0,0,1.5,6.1,10.2,"Line and cover structures with insulating materials. May work with batt, roll, or blown insulation materials."
47-2141,"Painters, Construction and Maintenance",2,Contruction & Extraction,217280,18.06,37570,0.2,0.2,26.5,7.4,83.9,"Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency."
47-2221,Structural Iron and Steel Workers,2,Contruction & Extraction,69440,24.91,51800,0,0,2.7,4.5,13,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings."
47-2231,Solar Photovoltaic Installers,2,Contruction & Extraction,8870,18.87,39240,0,0,1.4,24.3,2.3,"Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks."
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2,Contruction & Extraction,23950,14.7,30570,0,0,5.3,22.4,8.2,"Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3012,Helpers--Carpenters,2,Contruction & Extraction,35890,13.85,28810,0,0,3,7.5,8,"Help carpenters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3013,Helpers--Electricians,2,Contruction & Extraction,71890,14.2,29530,0,0.1,12.5,18,21.1,"Help electricians by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2,Contruction & Extraction,54080,13.96,29030,0,0,7,13.4,13.6,"Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
